private_domain,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics
cricketwireless.com,True,live,200.0,https://www.cricketwireless.com/,Cricket Wireless | Unlimited Phone Plans | Affordable Cell Phones | No Contract,,True,https://www.cricketwireless.com/,17.0,11.0,1.0,0.0,0.0,1.0,1.0
dakine.com,True,live,200.0,https://www.dakine.com/,"Dakine | Backpacks, Luggage, Surf, Snow, & Bike Gear Since 1979",,False,,,,,,,,
dealer.com,True,live,200.0,https://www.dealer.com/,Automotive Digital Marketing Solutions | Dealer.com,,True,https://www.dealer.com/,11.0,17.0,0.0,0.0,0.0,0.0,1.0
decipherinc.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
defense.gov,True,http_error,403.0,https://defense.gov/,Access Denied,,True,https://www.war.gov/,2.0,5.0,0.0,0.0,0.0,0.0,1.0
developmentencyclopaedia.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
digitach.net,True,live,200.0,https://digitach.net/,球队海报 - 2026 赛季赛事数据与前瞻,,True,https://digitach.net/,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dinosaurized.com,True,live,200.0,https://dinosaurized.com/,Top Tactical Gears - Survival Tools | Dinosaurized: An Army Store,,True,https://dinosaurized.com/,8.0,12.0,1.0,0.0,0.0,0.0,1.0
diply.com,True,live,200.0,https://diply.com/,Diply – Get Lost Somewhere Good…,,True,https://diply.com/,27.0,21.0,0.0,0.0,0.0,0.0,1.0
discordapp.com,True,redirect,200.0,https://discord.com/,Discord - Group Chat That’s All Fun & Games,,True,https://discord.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0
discoveryplus.com,True,live,200.0,https://www.discoveryplus.com/,discovery+ | Stream Real-Life TV Episodes,,True,https://www.discoveryplus.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0
doshopify.com,True,live,200.0,https://doshopify.com/,,,True,https://doshopify.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drinkiq.com,True,live,200.0,https://www.drinkiq.com/en-gb,Effects of Alcohol | Drink Awareness | DRINKiQ UK,,True,https://www.drinkiq.com/en-us,1.0,6.0,0.0,0.0,0.0,0.0,0.0
dynoflow.net,True,http_error,404.0,https://dynoflow.net/,,,True,https://dynoflow.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
