outcome,term,b,se,p
bl_session_recording_rate,Educ: College,0.001623170393054301,0.003782625128873131,0.6678416123083117
bl_session_recording_rate,Educ: Postgraduate,0.0038434819871989863,0.0049819541141895,0.44042199361937295
bl_session_recording_rate,Age: 25--34,0.003936764818794042,0.005694000777576892,0.4893216318432658
bl_session_recording_rate,Age: 35--49,0.012687005273039318,0.005583720770776917,0.023077948108079793
bl_session_recording_rate,Age: 50--64,0.01754903570298796,0.006149309688805441,0.004319671751450103
bl_session_recording_rate,Age: 65+,0.01461692672979508,0.005814818975170735,0.011945941687464727
bl_canvas_fingerprinting_rate,Woman,0.011243402664102085,0.005200368191817872,0.03061511360394602
bl_canvas_fingerprinting_rate,Race: African American,-0.0008834520089638573,0.008321256339187991,0.9154489771550582
bl_canvas_fingerprinting_rate,Race: Asian,-0.013702283414399594,0.0074616791971553655,0.06630533845761667
bl_canvas_fingerprinting_rate,Race: Hispanic,0.003083418014621059,0.00676070773699429,0.6483330439577255
bl_canvas_fingerprinting_rate,Race: Other,0.012116848718084265,0.01128896209250344,0.2831204161599039
bl_canvas_fingerprinting_rate,Educ: Some college,0.007516576582936321,0.0065077247021355705,0.24808070124254977
bl_canvas_fingerprinting_rate,Educ: College,0.0010021508664147505,0.0065855715470524955,0.8790499274419384
bl_canvas_fingerprinting_rate,Educ: Postgraduate,0.017139705631308615,0.010245422894970886,0.09434433812786999
bl_canvas_fingerprinting_rate,Age: 25--34,0.0050743362879654055,0.008224988617129097,0.5372733547325155
bl_canvas_fingerprinting_rate,Age: 35--49,0.01605914516450721,0.00907105425157215,0.07666510460801253
bl_canvas_fingerprinting_rate,Age: 50--64,0.013814312739547351,0.008227790336392083,0.09315553137175897
bl_canvas_fingerprinting_rate,Age: 65+,0.033224400398314494,0.00883482736001095,0.00016949489479624
top_org_share,Woman,-0.018249510145551484,0.009762030680547602,0.06156191567419291
top_org_share,Race: African American,-0.015778615159566602,0.014857850368011169,0.2882485773071748
